sample_index,sent_monotonic_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,dq_cmd_1,dq_cmd_2,dq_cmd_3,dq_cmd_4,dq_cmd_5,dq_cmd_6,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,dq_meas_1,dq_meas_2,dq_meas_3,dq_meas_4,dq_meas_5,dq_meas_6,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_meas_6,q_error_1,q_error_2,q_error_3,q_error_4,q_error_5,q_error_6,fault_flags
0,332446.503978003,0.315,0.6375,0.4875,-0.225,0.315,0.225,-0.03270000000000217,-0.004099999999995774,-0.022899999999997922,0.023400000000001198,-0.029800000000002047,0.005499999999999949,0.3168153762817383,0.6410694122314453,0.47283935546875,-0.23136520385742188,0.3103303909301758,0.22373580932617188,0.013187408447265625,-0.0043964385986328125,0.03076934814453125,-0.03296661376953125,-0.010990142822265625,-0.010990142822265625,-0.3876911163330078,-0.9046150970458983,7.078973236083983,1.4071210479736327,0.1546903533935547,0.005591461181640625,0.001815376281738279,0.003569412231445357,-0.014660644531249989,-0.0063652038574218694,-0.004669609069824221,-0.0012641906738281306,
1,332446.51382806,0.314673,0.637459,0.487271,-0.224766,0.314702,0.225055,-0.05044999999999911,-0.006299999999997974,-0.03529999999999922,0.03615000000000007,-0.04595000000000016,0.008500000000000174,0.3168153762817383,0.6410694122314453,0.47283935546875,-0.23136520385742188,0.3099489212036133,0.22373580932617188,-0.0043964385986328125,0.013187408447265625,-0.021978378295898438,-0.010990142822265625,-0.03296661376953125,-0.010990142822265625,-0.1866659545898437,-0.6174346923828123,5.8441038513183585,1.3288438262939453,0.10623291015625,0.005591461181640625,0.0021423762817383007,0.0036104122314453146,-0.01443164453125001,-0.006599203857421881,-0.0047530787963867005,-0.00131919067382813,
2,332446.523825195,0.313991,0.637374,0.486794,-0.224277,0.314081,0.22517,-0.10369999999999824,-0.012899999999999023,-0.07255000000000178,0.07434999999999942,-0.09440000000000004,0.01744999999999941,0.3168153762817383,0.6410694122314453,0.4724578857421875,-0.23136520385742188,0.3095674514770508,0.22373580932617188,-0.0043964385986328125,-0.0043964385986328125,-0.021978378295898438,0.010990142822265625,-0.07692337036132812,-0.010990142822265625,-0.646153106689453,-0.7897451782226562,5.269743041992187,1.3400267486572266,0.06895838928222656,0.0018640899658203124,0.002824376281738261,0.0036954122314453164,-0.014336114257812504,-0.007088203857421871,-0.004513548522949218,-0.001434190673828134,
3,332446.53383745,0.312599,0.637201,0.48582,-0.223279,0.312814,0.225404,-0.1924000000000009,-0.02395000000000036,-0.13465000000000005,0.13790000000000052,-0.17520000000000036,0.032349999999999046,0.3164339065551758,0.6410694122314453,0.472076416015625,-0.23098373413085938,0.3076601028442383,0.22373580932617188,-0.05714225769042969,-0.0043964385986328125,-0.048351287841796875,-0.010990142822265625,-0.25274658203125,0.010990142822265625,-0.9620519256591795,-0.7897451782226562,5.499490356445311,1.4183031616210937,0.06523101806640624,0.0018640899658203124,0.0038349065551757655,0.003868412231445295,-0.013743583984374974,-0.00770473413085937,-0.0051538971557617,-0.0016681906738281183,
4,332446.543823119,0.310143,0.636895,0.484101,-0.221519,0.310577,0.225817,-0.3166000000000002,-0.039450000000001983,-0.22159999999999958,0.22685000000000066,-0.28834999999999833,0.05325000000000052,0.3149080276489258,0.6410694122314453,0.4716949462890625,-0.23098373413085938,0.3061342239379883,0.22373580932617188,-0.1978015899658203,-0.013187408447265625,-0.021978378295898438,-0.010990142822265625,-0.25274658203125,-0.010990142822265625,-1.3353838348388671,-0.933333511352539,5.528208770751952,1.5189454193115235,0.046593353271484374,0.01304620361328125,0.004765027648925779,0.004174412231445324,-0.012406053710937504,-0.009464734130859381,-0.004442776062011711,-0.002081190673828115,
5,332446.553837208,0.306267,0.636412,0.481388,-0.218742,0.307047,0.226469,-0.4730000000000012,-0.058950000000002056,-0.3310499999999994,0.3389000000000003,-0.4307499999999992,0.07955000000000045,0.3110933303833008,0.6410694122314453,0.4709320068359375,-0.23022079467773438,0.3030824661254883,0.22411727905273438,-0.3208789825439453,-0.021978378295898438,-0.0659332275390625,0.14285659790039062,-0.47252655029296875,0.010990142822265625,-1.048203430175781,-1.048203430175781,5.2123062133789055,1.6270416107177734,0.020500946044921874,0.0279556884765625,0.00482633038330077,0.004657412231445335,-0.010455993164062483,-0.011478794677734383,-0.003964533874511733,-0.0023517209472656286,
6,332446.5638315,0.300683,0.635716,0.47748,-0.214741,0.301962,0.227408,-0.644900000000001,-0.08035000000000125,-0.45135000000000036,0.4621,-0.5873000000000017,0.10845000000000021,0.3091859817504883,0.6406879425048828,0.4701690673828125,-0.22869491577148438,0.3015565872192383,0.22373580932617188,-0.33846092224121094,-0.013187408447265625,-0.1802196502685547,0.2967033386230469,-0.4285697937011719,-0.010990142822265625,-1.9384630584716793,-1.134358673095703,4.925129547119139,1.6419519042968749,0.0018640899658203124,0.04286598205566406,0.008502981750488303,0.004971942504882865,-0.0073109326171875155,-0.013953915771484388,-0.00040541278076172693,-0.003672190673828124,
7,332446.573823221,0.293369,0.634805,0.472361,-0.2095,0.295301,0.228638,-0.8157499999999985,-0.1016499999999976,-0.5709000000000021,0.584549999999999,-0.7428999999999992,0.13714999999999977,0.3038454055786133,0.6406879425048828,0.4678792953491211,-0.22297286987304688,0.2901124954223633,0.22449874877929688,-0.5318679809570312,-0.03076934814453125,-0.27692222595214844,0.6923065185546875,-1.3956031799316406,0.14285659790039062,-2.3979502105712887,-1.2779470062255858,5.126150970458983,1.5636746826171875,0.16587246704101563,0.05777546691894531,0.01047640557861329,0.00588294250488286,-0.004481704650878882,-0.013472869873046883,-0.005188504577636699,-0.004139251220703133,
8,332446.583828186,0.284368,0.633683,0.466062,-0.20305,0.287104,0.230151,-0.9822499999999984,-0.12234999999999885,-0.6873999999999991,0.703899999999999,-0.8944999999999981,0.16515000000000002,0.2965974807739258,0.6399250030517578,0.4644460678100586,-0.21496105194091797,0.2821016311645508,0.22564315795898438,-0.7252750396728516,-0.09230804443359375,-0.34725189208984375,1.1758232116699219,-1.1978034973144531,0.09889984130859375,-2.2256397247314452,-1.0194887542724609,4.40820556640625,1.4593058624267579,0.25533180236816405,0.05777546691894531,0.012229480773925772,0.006242003051757816,-0.0016159321899413825,-0.01191105194091796,-0.005002368835449245,-0.0045078420410156195,
9,332446.593827476,0.273724,0.632358,0.458613,-0.195422,0.277411,0.231941,-1.1443499999999995,-0.14250000000000096,-0.8008500000000002,0.82005,-1.04215,0.19245000000000095,0.2885866165161133,0.6387805938720703,0.4602499008178711,-0.20695018768310547,0.2737083435058594,0.22755050659179688,-0.8395595550537109,-0.11868095397949219,-0.4879112243652344,1.1978034973144531,-1.2857131958007812,0.23077011108398438,-2.426664886474609,-1.1630770874023435,4.293331909179687,1.3661183471679688,0.22923939514160155,0.054048095703125,0.014862616516113258,0.006422593872070337,0.0016369008178711009,-0.011528187683105456,-0.0037026564941406437,-0.004390493408203133,
