sample_index,sent_monotonic_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,dq_cmd_1,dq_cmd_2,dq_cmd_3,dq_cmd_4,dq_cmd_5,dq_cmd_6,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,dq_meas_1,dq_meas_2,dq_meas_3,dq_meas_4,dq_meas_5,dq_meas_6,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_meas_6,q_error_1,q_error_2,q_error_3,q_error_4,q_error_5,q_error_6,fault_flags
0,332702.175507021,0.315,0.6375,0.4875,-0.225,0.315,0.225,-0.03270000000000217,-0.004099999999995774,-0.022899999999997922,0.023400000000001198,-0.029800000000002047,0.005499999999999949,0.3168153762817383,0.6410694122314453,0.478179931640625,-0.23136520385742188,0.3103303909301758,0.22373580932617188,-0.0043964385986328125,-0.0043964385986328125,-0.013187408447265625,-0.010990142822265625,-0.010990142822265625,0.010990142822265625,-0.1866659545898437,-0.7897451782226562,6.389746246337889,1.410848419189453,0.15096298217773438,0.005591461181640625,0.001815376281738279,0.003569412231445357,-0.009320068359374989,-0.0063652038574218694,-0.004669609069824221,-0.0012641906738281306,
1,332702.188663508,0.314673,0.637459,0.487271,-0.224766,0.314702,0.225055,-0.05044999999999911,-0.006299999999997974,-0.03529999999999922,0.03615000000000007,-0.04595000000000016,0.008500000000000174,0.3168153762817383,0.6414508819580078,0.478179931640625,-0.23136520385742188,0.3099489212036133,0.22373580932617188,-0.021978378295898438,0.0043964385986328125,0.013187408447265625,-0.010990142822265625,-0.07692337036132812,-0.010990142822265625,-0.21538436889648435,-0.5312831878662109,5.384616699218749,1.325116455078125,0.09877816772460937,0.0018640899658203124,0.0021423762817383007,0.003991881958007815,-0.00909106835937501,-0.006599203857421881,-0.0047530787963867005,-0.00131919067382813,
2,332702.195368177,0.313991,0.637374,0.486794,-0.224277,0.314081,0.22517,-0.10369999999999824,-0.012899999999999023,-0.07255000000000178,0.07434999999999942,-0.09440000000000004,0.01744999999999941,0.3168153762817383,0.6414508819580078,0.478179931640625,-0.23136520385742188,0.3088045120239258,0.22373580932617188,-0.0043964385986328125,0.0043964385986328125,-0.048351287841796875,0.010990142822265625,-0.16483688354492188,0.010990142822265625,-0.6748715209960936,-0.5600016021728514,5.41333511352539,1.358663604736328,0.07268576049804687,-0.0018640899658203124,0.002824376281738261,0.004076881958007816,-0.008614068359375004,-0.007088203857421871,-0.005276487976074218,-0.001434190673828134,
3,332702.205405013,0.312599,0.637201,0.48582,-0.223279,0.312814,0.225404,-0.1924000000000009,-0.02395000000000036,-0.13465000000000005,0.13790000000000052,-0.17520000000000036,0.032349999999999046,0.3164339065551758,0.6414508819580078,0.4777984619140625,-0.23136520385742188,0.3080415725708008,0.22373580932617188,-0.013187408447265625,-0.0043964385986328125,-0.021978378295898438,0.010990142822265625,-0.23077011108398438,0.010990142822265625,-0.8758966827392577,-0.5600016021728514,5.643074951171874,1.4033936767578126,0.08386787414550781,0.0018640899658203124,0.0038349065551757655,0.004249881958007795,-0.008021538085937474,-0.00808620385742187,-0.0047724274291992,-0.0016681906738281183,
4,332702.21803316,0.310143,0.636895,0.484101,-0.221519,0.310577,0.225817,-0.3166000000000002,-0.039450000000001983,-0.22159999999999958,0.22685000000000066,-0.28834999999999833,0.05325000000000052,0.3149080276489258,0.6410694122314453,0.4774169921875,-0.23098373413085938,0.3057527542114258,0.22373580932617188,-0.20659255981445312,-0.0043964385986328125,-0.0659332275390625,0.0549468994140625,-0.27472686767578125,-0.010990142822265625,-1.47897590637207,-1.0769218444824218,5.068721618652343,1.5226727905273436,0.054048095703125,0.01304620361328125,0.004765027648925779,0.004174412231445324,-0.0066840078125000035,-0.009464734130859381,-0.004824245788574211,-0.002081190673828115,
5,332702.227032111,0.306267,0.636412,0.481388,-0.218742,0.307047,0.226469,-0.4730000000000012,-0.058950000000002056,-0.3310499999999994,0.3389000000000003,-0.4307499999999992,0.07955000000000045,0.3114748001098633,0.6410694122314453,0.476654052734375,-0.22907638549804688,0.3027009963989258,0.22373580932617188,-0.3912086486816406,-0.021978378295898438,-0.11868095397949219,0.27472686767578125,-0.47252655029296875,0.010990142822265625,-1.1056402587890624,-1.0194887542724609,4.781537475585937,1.559947311401367,0.03168386840820312,0.024228317260742187,0.00520780010986327,0.004657412231445335,-0.004733947265624983,-0.010334385498046883,-0.004346003601074233,-0.0027331906738281286,
6,332702.238022724,0.300683,0.635716,0.47748,-0.214741,0.301962,0.227408,-0.644900000000001,-0.08035000000000125,-0.45135000000000036,0.4621,-0.5873000000000017,0.10845000000000021,0.3080415725708008,0.6406879425048828,0.4747467041015625,-0.22526168823242188,0.2988862991333008,0.22373580932617188,-0.3032970428466797,-0.03076934814453125,-0.2681312561035156,0.5164833068847656,-0.7142868041992188,-0.03296661376953125,-2.598975372314453,-1.2492323303222654,4.580516052246093,1.537582275390625,0.005591461181640625,0.05777546691894531,0.007358572570800803,0.004971942504882865,-0.0027332958984375155,-0.010520688232421888,-0.003075700866699227,-0.003672190673828124,
7,332702.245359189,0.293369,0.634805,0.472361,-0.2095,0.295301,0.228638,-0.8157499999999985,-0.1016499999999976,-0.5709000000000021,0.584549999999999,-0.7428999999999992,0.13714999999999977,0.3042268753051758,0.6406879425048828,0.4724578857421875,-0.21992111206054688,0.2904939651489258,0.22449874877929688,-0.4967041015625,-0.0659332275390625,-0.2593402862548828,0.8901100158691406,-1.4395599365234375,0.09889984130859375,-2.369231796264648,-1.1056402587890624,4.293331909179687,1.4518503112792969,0.14723480224609375,0.06150364685058594,0.01085787530517579,0.00588294250488286,9.688574218752466e-05,-0.010421112060546883,-0.004807034851074199,-0.004139251220703133,
8,332702.255361863,0.284368,0.633683,0.466062,-0.20305,0.287104,0.230151,-0.9822499999999984,-0.12234999999999885,-0.6873999999999991,0.703899999999999,-0.8944999999999981,0.16515000000000002,0.2973604202270508,0.6395435333251953,0.4686422348022461,-0.21381664276123047,0.2824831008911133,0.22602462768554688,-0.7428569793701172,-0.14505577087402344,-0.3824176788330078,0.9120864868164062,-1.2197799682617188,0.16483688354492188,-2.713845291137695,-0.7610267639160155,4.436923980712891,1.4071210479736327,0.27396946716308596,0.05032072448730469,0.012992420227050772,0.005860533325195316,0.0025802348022461175,-0.01076664276123046,-0.004620899108886745,-0.0041263723144531195,
9,332702.265351647,0.273724,0.632358,0.458613,-0.195422,0.277411,0.231941,-1.1443499999999995,-0.14250000000000096,-0.8008500000000002,0.82005,-1.04215,0.19245000000000095,0.2904939651489258,0.6383991241455078,0.4648275375366211,-0.20618724822998047,0.2752342224121094,0.22640609741210938,-1.0593414306640625,-0.17142868041992188,-0.47912025451660156,1.3296699523925781,-1.3296699523925781,0.120880126953125,-2.2830765533447264,-2.082051391601562,3.94871841430664,1.3549362335205077,0.2404223175048828,0.054048095703125,0.01676996514892576,0.006041124145507837,0.006214537536621101,-0.010765248229980456,-0.0021767775878906437,-0.005534902587890633,
10,332702.275350363,0.261481,0.630833,0.450045,-0.186649,0.266261,0.234,-1.3006000000000018,-0.1619499999999996,-0.9101499999999985,0.9320000000000008,-1.184500000000002,0.2187499999999995,0.2805747985839844,0.6368732452392578,0.4591054916381836,-0.19550609588623047,0.2653160095214844,0.22831344604492188,-1.2439556121826172,-0.1362628936767578,-0.6373634338378906,1.5054931640625,-1.5054931640625,0.20878982543945312,-2.5702569580078123,-1.0194887542724609,3.9199999999999995,1.2021099700927733,0.20687435913085936,0.06150364685058594,0.019093798583984356,0.006040245239257835,0.009060491638183621,-0.00885709588623046,-0.0009449904785156504,-0.0056865539550781385,
11,332702.285352213,0.247712,0.629119,0.44041,-0.176782,0.253721,0.236316,-1.4437000000000004,-0.17975000000000074,-1.0102999999999973,1.0346000000000009,-1.3148000000000006,0.24279999999999996,0.2679862976074219,0.6353473663330078,0.4518575668334961,-0.18444347381591797,0.2531089782714844,0.22945785522460938,-1.2967033386230469,-0.1978015899658203,-0.6901092529296875,1.6153831481933594,-1.74725341796875,0.16483688354492188,-2.8287189483642576,-1.3066654205322263,3.604101181030273,1.16483544921875,0.24787705993652343,0.07641313171386718,0.020274297607421887,0.006228366333007829,0.01144756683349607,-0.007661473815917974,-0.0006120217285155993,-0.006858144775390623,
12,332702.295346994,0.232607,0.627238,0.429839,-0.165957,0.239965,0.238856,-1.5662999999999996,-0.19504999999999661,-1.0961500000000013,1.1224499999999997,-1.4263999999999986,0.26339999999999975,0.2531089782714844,0.6330585479736328,0.4434652328491211,-0.17109203338623047,0.24242782592773438,0.23136520385742188,-1.4549446105957031,-0.2681312561035156,-0.7780227661132812,1.8131866455078125,-1.7692298889160156,0.23077011108398438,-2.082051391601562,-1.2205139160156249,3.4605128479003904,1.0716487426757813,0.25160443115234377,0.09132342529296875,0.020501978271484367,0.00582054797363285,0.013626232849121067,-0.005135033386230475,0.0024628259277343634,-0.007490796142578138,
13,332702.305346854,0.216386,0.625218,0.418487,-0.154333,0.225193,0.241584,-1.6669000000000003,-0.2076499999999981,-1.166600000000001,1.1944999999999997,-1.51805,0.28035000000000004,0.23746871948242188,0.6303882598876953,0.4346914291381836,-0.15964794158935547,0.22793197631835938,0.23289108276367188,-2.0,-0.33846092224121094,-0.9274730682373047,1.6813201904296875,-1.9230766296386719,0.25274658203125,-1.737434158325195,-0.8184598541259764,3.632819595336913,1.079103485107422,0.20314698791503905,0.10623291015625,0.02108271948242188,0.005170259887695261,0.016204429138183596,-0.005314941589355471,0.0027389763183593707,-0.008692917236328118,
14,332702.315347232,0.19926899999999997,0.623085,0.406507,-0.14206699999999997,0.20960399999999998,0.244463,-1.74555,-0.21760000000000113,-1.2218000000000009,1.2508000000000006,-1.589700000000001,0.2935000000000007,0.22030258178710938,0.6273365020751953,0.4247732162475586,-0.14705848693847656,0.21496105194091797,0.23556137084960938,-1.3582420349121094,-0.2681312561035156,-0.997802734375,1.8351631164550781,-1.9450531005859375,0.34066009521484375,-2.024614562988281,-0.7897451782226562,3.3456391906738276,1.079103485107422,0.14723480224609375,0.09877816772460937,0.0210335817871094,0.0042515020751953125,0.018266216247558587,-0.004991486938476591,0.005357051940917984,-0.008901629150390639,
15,332702.325345584,0.181475,0.620866,0.394051,-0.129317,0.193399,0.247454,-1.8018500000000006,-0.22479999999999722,-1.2614000000000014,1.2911,-1.6409500000000008,0.30285000000000034,0.20122814178466797,0.6246662139892578,0.4133291244506836,-0.13332557678222656,0.20084667205810547,0.23708724975585938,-2.0615386962890625,-0.23296737670898438,-0.9714279174804688,1.9670333862304688,-2.0329666137695312,0.25274658203125,-1.7087194824218748,-0.732308349609375,3.661538009643554,1.0231912994384766,0.11741502380371094,0.11368765258789063,0.01975314178466797,0.0038002139892577835,0.01927812445068361,-0.004008576782226575,0.007447672058105481,-0.010366750244140632,
16,332702.335313717,0.163232,0.618589,0.381279,-0.116245,0.176785,0.25052,-1.8338499999999993,-0.22885000000000266,-1.283899999999999,1.3140499999999993,-1.6700999999999993,0.3082499999999988,0.18101024627685547,0.6216144561767578,0.4011211395263672,-0.12073707580566406,0.19054698944091797,0.24013900756835938,-2.079120635986328,-0.3032970428466797,-1.1824169158935547,1.8571434020996094,-1.9450531005859375,0.40659332275390625,-1.2779470062255858,-0.5025647735595702,4.379487152099609,1.0269186706542968,0.06150364685058594,0.10623291015625,0.01777824627685548,0.003025456176757757,0.01984213952636721,-0.004492075805664061,0.013761989440917971,-0.010380992431640645,
17,332702.345348126,0.144798,0.616289,0.368373,-0.103036,0.159997,0.253619,-1.8396999999999997,-0.2295000000000047,-1.2879,1.31825,-1.6754500000000005,0.3092499999999998,0.16460704803466797,0.6185626983642578,0.3904399871826172,-0.11120033264160156,0.17643260955810547,0.24242782592773438,-2.0703296661376953,-0.3120880126953125,-1.1472530364990234,1.74725341796875,-2.0988998413085938,0.47252655029296875,-0.3589727020263671,-0.445127944946289,4.3507687377929685,1.082830856323242,0.0279556884765625,0.08759524536132812,0.01980904803466796,0.0022736983642578368,0.02206698718261718,-0.00816433264160156,0.01643560955810547,-0.011191174072265608,
18,332702.355352483,0.126438,0.613999,0.355521,-0.08988,0.143276,0.256705,-1.8190500000000005,-0.22659999999999902,-1.2730500000000005,1.3034999999999999,-1.6566499999999997,0.30585000000000195,0.14400672912597656,0.6151294708251953,0.3774700164794922,-0.09899330139160156,0.16613292694091797,0.24624252319335938,-2.2725276947021484,-0.27692222595214844,-1.208791732788086,1.7912101745605469,-1.879119873046875,0.5384597778320312,-0.9046150970458983,-0.6748715209960936,4.178458251953124,1.1126506347656249,0.0018640899658203124,0.06523101806640624,0.017568729125976568,0.001130470825195351,0.02194901647949221,-0.009113301391601561,0.022856926940917982,-0.010462476806640642,
