sample_index,sent_monotonic_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,dq_cmd_1,dq_cmd_2,dq_cmd_3,dq_cmd_4,dq_cmd_5,dq_cmd_6,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,dq_meas_1,dq_meas_2,dq_meas_3,dq_meas_4,dq_meas_5,dq_meas_6,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_meas_6,q_error_1,q_error_2,q_error_3,q_error_4,q_error_5,q_error_6,fault_flags
0,331421.155184858,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,-0.008199999999999874,-0.001000000000001,-0.005699999999997374,0.005900000000000349,-0.007500000000000562,0.0014000000000000123,0.08068180084228516,0.3843364715576172,0.3355073928833008,-0.06504154205322266,0.07534122467041016,0.055123329162597656,-0.0043964385986328125,-0.0043964385986328125,-0.048351287841796875,0.010990142822265625,-0.010990142822265625,0.010990142822265625,-0.33025802612304683,0.21538436889648435,6.361027832031249,1.5301275329589843,0.05777546691894531,0.0018640899658203124,0.0019318008422851557,-3.8528442382834704e-05,-0.011367607116699208,-0.008791542053222655,-0.0034087753295898443,-0.0011266708374023451,
1,331421.165061414,0.078668,0.384365,0.346818,-0.056191,0.078675,0.056264,-0.012600000000000111,-0.0015500000000001624,-0.008800000000000474,0.00905000000000003,-0.011499999999999705,0.0021500000000000685,0.08068180084228516,0.3843364715576172,0.3351259231567383,-0.06542301177978516,0.07534122467041016,0.055123329162597656,0.0043964385986328125,-0.0043964385986328125,0.0043964385986328125,-0.0549468994140625,-0.03296661376953125,0.010990142822265625,-0.33025802612304683,0.2728211975097656,5.786667022705077,1.4332134552001952,0.05032072448730469,0.0018640899658203124,0.0020138008422851544,-2.8528442382824704e-05,-0.011692076843261734,-0.009232011779785158,-0.0033337753295898387,-0.0011406708374023453,
2,331421.17518683,0.078498,0.384344,0.346699,-0.056069,0.07852,0.056293,-0.02590000000000023,-0.0032500000000018625,-0.01815000000000011,0.018549999999999817,-0.02360000000000001,0.00434999999999984,0.08068180084228516,0.3843364715576172,0.3351259231567383,-0.06580448150634766,0.07495975494384766,0.055123329162597656,-0.021978378295898438,-0.0043964385986328125,-0.0043964385986328125,-0.010990142822265625,-0.03296661376953125,-0.010990142822265625,-0.4738463592529296,0.10051445007324217,5.786667022705077,1.4033936767578126,0.020500946044921874,-0.005591461181640625,0.002183800842285158,-7.528442382831457e-06,-0.011573076843261698,-0.009735481506347655,-0.00356024505615235,-0.0011696708374023465,
3,331421.18506448,0.07815,0.3843,0.346455,-0.05582,0.078203,0.056351,-0.048100000000000226,-0.006000000000000449,-0.03369999999999762,0.034450000000000106,-0.04380000000000009,0.008049999999999724,0.08068180084228516,0.3843364715576172,0.3351259231567383,-0.06580448150634766,0.07495975494384766,0.055123329162597656,-0.021978378295898438,-0.021978378295898438,-0.0043964385986328125,-0.0549468994140625,-0.0549468994140625,-0.010990142822265625,-0.646153106689453,0.41640953063964836,5.786667022705077,1.4481229400634765,0.009318832397460937,-0.0018640899658203124,0.002531800842285159,3.647155761721255e-05,-0.011329076843261732,-0.009984481506347655,-0.0032432450561523385,-0.001227670837402342,
4,331421.195060731,0.077536,0.384224,0.346025,-0.05538,0.077644,0.056454,-0.07915000000000005,-0.00984999999999736,-0.055399999999999894,0.0567500000000002,-0.07204999999999989,0.013300000000000117,0.08068180084228516,0.3843364715576172,0.3351259231567383,-0.06618595123291016,0.07495975494384766,0.055123329162597656,-0.0043964385986328125,-0.013187408447265625,-0.013187408447265625,-0.03296661376953125,-0.03296661376953125,0.010990142822265625,-0.4738463592529296,0.07179603576660155,5.786667022705077,1.5152172393798828,-0.005591461181640625,0.0018640899658203124,0.0031458008422851624,0.00011247155761717753,-0.010899076843261746,-0.010805951232910158,-0.0026842450561523484,-0.001330670837402341,
5,331421.205059925,0.076567,0.384103,0.345347,-0.054685,0.076762,0.056617,-0.1182499999999996,-0.014749999999999486,-0.08275000000000088,0.0847500000000001,-0.1076500000000001,0.019900000000000126,0.08030033111572266,0.3843364715576172,0.3351259231567383,-0.06580448150634766,0.07457828521728516,0.055123329162597656,-0.03076934814453125,-0.013187408447265625,0.0043964385986328125,0.010990142822265625,-0.0549468994140625,0.010990142822265625,-0.7897451782226562,-0.2728211975097656,5.8441038513183585,1.5487651977539063,-0.01677357482910156,0.005591461181640625,0.00373333111572266,0.00023347155761715976,-0.010221076843261734,-0.011119481506347659,-0.0021837147827148407,-0.0014936708374023444,
6,331421.21507375,0.075171,0.383929,0.34437,-0.053685,0.075491,0.056852,-0.1612499999999996,-0.020100000000000673,-0.11285000000000045,0.11549999999999998,-0.14684999999999976,0.02715000000000009,0.07991886138916016,0.3843364715576172,0.3351259231567383,-0.06580448150634766,0.07419681549072266,0.055123329162597656,-0.03076934814453125,-0.0043964385986328125,0.0043964385986328125,0.03296661376953125,-0.09889984130859375,-0.010990142822265625,-0.7897451782226562,0.3015396118164062,5.470771942138671,1.5860397186279296,-0.035411239624023434,0.01304620361328125,0.0047478613891601545,0.00040747155761716725,-0.009244076843261728,-0.01211948150634766,-0.0012941845092773463,-0.0017286708374023435,
7,331421.225068844,0.073342,0.383701,0.34309,-0.052375,0.073825,0.05716,-0.20395,-0.025400000000000426,-0.14274999999999985,0.14609999999999973,-0.18574999999999983,0.034299999999999956,0.07915592193603516,0.3843364715576172,0.3351259231567383,-0.06542301177978516,0.07343387603759766,0.055123329162597656,-0.10988998413085938,-0.0043964385986328125,-0.048351287841796875,0.0549468994140625,-0.09889984130859375,-0.03296661376953125,-0.9046150970458983,0.10051445007324217,5.815385437011718,1.612132125854492,-0.046593353271484374,0.01677357482910156,0.005813921936035152,0.0006354715576171732,-0.007964076843261725,-0.013048011779785158,-0.0003911239624023455,-0.0020366708374023462,
8,331421.235051599,0.071092,0.383421,0.341515,-0.050763,0.071776,0.057538,-0.24554999999999993,-0.03060000000000007,-0.17185000000000117,0.17595000000000005,-0.2236000000000002,0.04124999999999997,0.07839298248291016,0.3843364715576172,0.3347444534301758,-0.06466007232666016,0.07228946685791016,0.055123329162597656,-0.127471923828125,-0.0043964385986328125,-0.021978378295898438,0.09889984130859375,-0.20878982543945312,-0.010990142822265625,-1.0769218444824218,-0.1579475402832031,5.183587799072265,1.6419519042968749,-0.054048095703125,0.024228317260742187,0.007300982482910154,0.0009154715576171757,-0.006770546569824232,-0.013897072326660154,0.0005134668579101498,-0.0024146708374023426,
9,331421.245012672,0.068431,0.383089,0.339653,-0.048856,0.069353,0.057985,-0.28610000000000024,-0.03565000000000096,-0.20020000000000038,0.20505,-0.26055000000000034,0.048100000000000226,0.07648563385009766,0.3839550018310547,0.3347444534301758,-0.06313419342041016,0.06961917877197266,0.055504798889160156,-0.2681312561035156,-0.013187408447265625,-0.03076934814453125,0.20878982543945312,-0.2967033386230469,-0.010990142822265625,-0.646153106689453,0.07179603576660155,5.8441038513183585,1.6456792755126952,-0.035411239624023434,0.0279556884765625,0.00805463385009765,0.0008660018310546747,-0.0049085465698242015,-0.01427819342041016,0.00026617877197265827,-0.0024802011108398456,
