sample_index,sent_monotonic_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,dq_cmd_1,dq_cmd_2,dq_cmd_3,dq_cmd_4,dq_cmd_5,dq_cmd_6,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,dq_meas_1,dq_meas_2,dq_meas_3,dq_meas_4,dq_meas_5,dq_meas_6,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_meas_6,q_error_1,q_error_2,q_error_3,q_error_4,q_error_5,q_error_6,fault_flags
0,331374.591269702,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3839550018310547,0.3355073928833008,-0.06313419342041016,0.07495975494384766,0.053215980529785156,-0.0043964385986328125,-0.0043964385986328125,0.0043964385986328125,-0.010990142822265625,-0.010990142822265625,-0.010990142822265625,-0.33025802612304683,0.1579475402832031,5.671793365478515,1.463033233642578,0.06150364685058594,0.0279556884765625,0.0015503311157226557,-0.0004199981689453347,-0.011367607116699208,-0.006884193420410155,-0.0037902450561523443,-0.003034019470214845,
1,331374.600971708,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3839550018310547,0.3351259231567383,-0.06313419342041016,0.07495975494384766,0.053215980529785156,0.0043964385986328125,-0.03956031799316406,0.048351287841796875,-0.03296661376953125,-0.0549468994140625,-0.010990142822265625,-0.6174346923828123,0.24410278320312498,5.729230194091797,1.3735738983154298,0.035411239624023434,0.024228317260742187,0.0015503311157226557,-0.0004199981689453347,-0.011749076843261708,-0.006884193420410155,-0.0037902450561523443,-0.003034019470214845,
2,331374.610975827,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06313419342041016,0.07495975494384766,0.052834510803222656,0.013187408447265625,-0.03076934814453125,-0.021978378295898438,-0.010990142822265625,-0.0549468994140625,-0.03296661376953125,-0.3015396118164062,0.3589727020263671,5.8728222656249995,1.3549362335205077,0.024228317260742187,0.009318832397460937,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.006884193420410155,-0.0037902450561523443,-0.003415489196777345,
3,331374.620970161,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06351566314697266,0.07457828521728516,0.052834510803222656,0.021978378295898438,0.0043964385986328125,0.013187408447265625,-0.07692337036132812,-0.03296661376953125,-0.010990142822265625,-0.5600016021728514,-0.1866659545898437,5.958977508544922,1.4071210479736327,0.024228317260742187,0.009318832397460937,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.007265663146972655,-0.004171714782714844,-0.003415489196777345,
4,331374.630969467,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.052834510803222656,0.013187408447265625,-0.013187408447265625,-0.013187408447265625,-0.120880126953125,-0.010990142822265625,-0.010990142822265625,-0.3015396118164062,0.1579475402832031,6.361027832031249,1.4518503112792969,0.03168386840820312,0.01304620361328125,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003415489196777345,
5,331374.640973779,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.013187408447265625,-0.048351287841796875,0.013187408447265625,-0.03296661376953125,-0.010990142822265625,-0.010990142822265625,-0.21538436889648435,0.2728211975097656,6.217435760498046,1.4779427185058593,0.03913861083984375,0.01677357482910156,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
6,331374.650976064,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06466007232666016,0.07495975494384766,0.052834510803222656,-0.0043964385986328125,-0.013187408447265625,-0.013187408447265625,-0.03296661376953125,-0.010990142822265625,-0.010990142822265625,-0.3015396118164062,0.3876911163330078,6.217435760498046,1.4779427185058593,0.04286598205566406,0.020500946044921874,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008410072326660155,-0.0037902450561523443,-0.003415489196777345,
7,331374.660967837,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06466007232666016,0.07495975494384766,0.053215980529785156,-0.0043964385986328125,-0.0043964385986328125,-0.0043964385986328125,-0.010990142822265625,-0.010990142822265625,-0.010990142822265625,-0.5887162780761718,-0.1292291259765625,6.504612426757811,1.4779427185058593,0.05032072448730469,0.024228317260742187,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008410072326660155,-0.0037902450561523443,-0.003034019470214845,
8,331374.670971222,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06466007232666016,0.07495975494384766,0.052834510803222656,0.013187408447265625,-0.03956031799316406,-0.0043964385986328125,-0.010990142822265625,-0.010990142822265625,-0.03296661376953125,-0.4738463592529296,1.1056402587890624,6.533330841064452,1.4853974609375,0.054048095703125,0.024228317260742187,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008410072326660155,-0.0037902450561523443,-0.003415489196777345,
9,331374.680977416,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.0043964385986328125,-0.048351287841796875,-0.03076934814453125,-0.010990142822265625,-0.010990142822265625,0.010990142822265625,-0.3015396118164062,0.3876911163330078,6.562049255371092,1.4891256408691407,0.05777546691894531,0.0279556884765625,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
10,331374.690970503,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3839550018310547,0.3351259231567383,-0.06466007232666016,0.07495975494384766,0.053215980529785156,-0.0043964385986328125,-0.013187408447265625,0.0043964385986328125,-0.010990142822265625,-0.010990142822265625,-0.010990142822265625,-0.07179603576660155,0.1579475402832031,6.533330841064452,1.4891256408691407,0.06150364685058594,0.03168386840820312,0.0015503311157226557,-0.0004199981689453347,-0.011749076843261708,-0.008410072326660155,-0.0037902450561523443,-0.003034019470214845,
11,331374.700967411,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06466007232666016,0.07495975494384766,0.052834510803222656,0.013187408447265625,-0.03076934814453125,-0.0043964385986328125,-0.03296661376953125,-0.010990142822265625,-0.03296661376953125,-0.4738463592529296,0.1579475402832031,6.820514984130859,1.4928530120849608,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008410072326660155,-0.0037902450561523443,-0.003415489196777345,
12,331374.710973735,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06466007232666016,0.07495975494384766,0.053215980529785156,0.0043964385986328125,0.0043964385986328125,-0.013187408447265625,-0.03296661376953125,-0.010990142822265625,-0.010990142822265625,-0.01435920715332031,0.933333511352539,6.6769229125976555,1.5003077545166015,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008410072326660155,-0.0037902450561523443,-0.003034019470214845,
13,331374.720968257,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06466007232666016,0.07495975494384766,0.053215980529785156,0.021978378295898438,-0.0043964385986328125,0.013187408447265625,-0.010990142822265625,-0.010990142822265625,-0.010990142822265625,-0.445127944946289,0.646153106689453,6.533330841064452,1.5003077545166015,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008410072326660155,-0.0037902450561523443,-0.003034019470214845,
