time_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6
0.000000,0.078750,0.384375,0.346875,-0.056250,0.078750,0.056250
0.010000,0.078668,0.384365,0.346818,-0.056191,0.078675,0.056264
0.020000,0.078498,0.384344,0.346699,-0.056069,0.078520,0.056293
0.030000,0.078150,0.384300,0.346455,-0.055820,0.078203,0.056351
0.040000,0.077536,0.384224,0.346025,-0.055380,0.077644,0.056454
0.050000,0.076567,0.384103,0.345347,-0.054685,0.076762,0.056617
0.060000,0.075171,0.383929,0.344370,-0.053685,0.075491,0.056852
0.070000,0.073342,0.383701,0.343090,-0.052375,0.073825,0.057160
0.080000,0.071092,0.383421,0.341515,-0.050763,0.071776,0.057538
0.090000,0.068431,0.383089,0.339653,-0.048856,0.069353,0.057985
0.100000,0.065370,0.382708,0.337511,-0.046662,0.066565,0.058500
0.110000,0.061928,0.382280,0.335102,-0.044195,0.063430,0.059079
0.120000,0.058152,0.381809,0.332460,-0.041489,0.059991,0.059714
0.130000,0.054096,0.381304,0.329622,-0.038583,0.056298,0.060396
0.140000,0.049817,0.380771,0.326627,-0.035517,0.052401,0.061116
0.150000,0.045369,0.380217,0.323513,-0.032329,0.048350,0.061864
0.160000,0.040808,0.379647,0.320320,-0.029061,0.044196,0.062630
0.170000,0.036200,0.379072,0.317093,-0.025759,0.039999,0.063405
0.180000,0.031609,0.378500,0.313880,-0.022470,0.035819,0.064176
0.190000,0.027104,0.377939,0.310728,-0.019242,0.031716,0.064934
0.200000,0.022750,0.377399,0.307683,-0.016121,0.027751,0.065667
0.210000,0.018611,0.376887,0.304790,-0.013154,0.023981,0.066365
0.220000,0.014738,0.376409,0.302084,-0.010378,0.020454,0.067017
0.230000,0.011180,0.375968,0.299596,-0.007827,0.017213,0.067616
0.240000,0.007984,0.375567,0.297357,-0.005537,0.014303,0.068153
0.250000,0.005199,0.375213,0.295400,-0.003544,0.011767,0.068618
0.260000,0.002861,0.374906,0.293748,-0.001871,0.009638,0.069006
0.270000,0.000947,0.374653,0.292393,-0.000503,0.007895,0.069323
0.280000,-0.000576,0.374455,0.291318,0.000587,0.006507,0.069576
0.290000,-0.001744,0.374317,0.290509,0.001425,0.005444,0.069775
0.300000,-0.002591,0.374242,0.289948,0.002038,0.004672,0.069929
0.310000,-0.003152,0.374227,0.289612,0.002452,0.004162,0.070042
0.320000,-0.003459,0.374240,0.289451,0.002684,0.003882,0.070113
0.330000,-0.003548,0.374247,0.289407,0.002751,0.003801,0.070134
0.340000,-0.003451,0.374209,0.289423,0.002671,0.003890,0.070099
0.350000,-0.003201,0.374090,0.289441,0.002459,0.004117,0.070004
0.360000,-0.002815,0.373852,0.289413,0.002120,0.004469,0.069836
0.370000,-0.002240,0.373454,0.289327,0.001607,0.004993,0.069571
0.380000,-0.001405,0.372856,0.289181,0.000856,0.005755,0.069180
0.390000,-0.000239,0.372017,0.288971,-0.000192,0.006817,0.068631
0.400000,0.001328,0.370895,0.288697,-0.001601,0.008246,0.067895
0.410000,0.003350,0.369461,0.288355,-0.003415,0.010088,0.066951
0.420000,0.005809,0.367724,0.287949,-0.005620,0.012330,0.065806
0.430000,0.008672,0.365708,0.287481,-0.008186,0.014939,0.064474
0.440000,0.011904,0.363433,0.286955,-0.011082,0.017886,0.062971
0.450000,0.015472,0.360922,0.286373,-0.014279,0.021138,0.061312
0.460000,0.019336,0.358199,0.285741,-0.017743,0.024661,0.059514
0.470000,0.023442,0.355305,0.285067,-0.021422,0.028404,0.057604
0.480000,0.027729,0.352281,0.284362,-0.025265,0.032311,0.055608
0.490000,0.032136,0.349172,0.283637,-0.029216,0.036328,0.053556
0.500000,0.036603,0.346019,0.282901,-0.033222,0.040400,0.051477
0.510000,0.041071,0.342866,0.282167,-0.037228,0.044472,0.049397
0.520000,0.045478,0.339756,0.281442,-0.041181,0.048489,0.047344
0.530000,0.049765,0.336732,0.280738,-0.045025,0.052397,0.045349
0.540000,0.053871,0.333838,0.280064,-0.048704,0.056140,0.043438
0.550000,0.057736,0.331117,0.279430,-0.052165,0.059663,0.041640
0.560000,0.061303,0.328609,0.278844,-0.055356,0.062915,0.039982
0.570000,0.064535,0.326337,0.278314,-0.058246,0.065862,0.038479
0.580000,0.067398,0.324322,0.277844,-0.060809,0.068472,0.037147
0.590000,0.069857,0.322584,0.277440,-0.063017,0.070713,0.036002
0.600000,0.071879,0.321143,0.277106,-0.064842,0.072555,0.035057
0.610000,0.073446,0.320010,0.276846,-0.066273,0.073982,0.034321
0.620000,0.074612,0.319159,0.276651,-0.067344,0.075042,0.033772
0.630000,0.075447,0.318555,0.276513,-0.068107,0.075803,0.033380
0.640000,0.076022,0.318164,0.276420,-0.068610,0.076328,0.033116
0.650000,0.076408,0.317949,0.276362,-0.068903,0.076684,0.032949
0.660000,0.076658,0.317869,0.276330,-0.069039,0.076917,0.032855
0.670000,0.076755,0.317852,0.276319,-0.069078,0.077009,0.032822
0.680000,0.076666,0.317820,0.276325,-0.069086,0.076922,0.032841
0.690000,0.076359,0.317693,0.276341,-0.069125,0.076620,0.032906
0.700000,0.075798,0.317393,0.276365,-0.069260,0.076065,0.033009
0.710000,0.074952,0.316851,0.276392,-0.069544,0.075222,0.033144
0.720000,0.073784,0.316047,0.276423,-0.069989,0.074055,0.033317
0.730000,0.072261,0.314968,0.276461,-0.070597,0.072531,0.033537
0.740000,0.070347,0.313603,0.276508,-0.071369,0.070616,0.033811
0.750000,0.068009,0.311941,0.276565,-0.072306,0.068277,0.034147
0.760000,0.065225,0.309979,0.276635,-0.073407,0.065491,0.034551
0.770000,0.062029,0.307739,0.276717,-0.074660,0.062296,0.035017
0.780000,0.058471,0.305253,0.276809,-0.076048,0.058738,0.035538
0.790000,0.054598,0.302549,0.276909,-0.077556,0.054866,0.036105
0.800000,0.050460,0.299660,0.277017,-0.079168,0.050729,0.036711
0.810000,0.046107,0.296617,0.277129,-0.080867,0.046377,0.037348
0.820000,0.041603,0.293466,0.277245,-0.082627,0.041872,0.038006
0.830000,0.037013,0.290253,0.277363,-0.084423,0.037283,0.038677
0.840000,0.032405,0.287026,0.277482,-0.086226,0.032676,0.039350
0.850000,0.027844,0.283833,0.277599,-0.088012,0.028115,0.040016
0.860000,0.023395,0.280718,0.277712,-0.089753,0.023666,0.040666
0.870000,0.019114,0.277722,0.277822,-0.091428,0.019385,0.041291
0.880000,0.015059,0.274884,0.277926,-0.093014,0.015331,0.041884
0.890000,0.011284,0.272243,0.278024,-0.094489,0.011555,0.042436
0.900000,0.007845,0.269837,0.278114,-0.095832,0.008117,0.042938
0.910000,0.004790,0.267699,0.278194,-0.097024,0.005062,0.043384
0.920000,0.002136,0.265842,0.278265,-0.098061,0.002407,0.043772
0.930000,-0.000111,0.264269,0.278324,-0.098938,0.000160,0.044101
0.940000,-0.001942,0.262987,0.278370,-0.099655,-0.001670,0.044368
0.950000,-0.003350,0.262002,0.278401,-0.100210,-0.003077,0.044574
0.960000,-0.004341,0.261309,0.278419,-0.100604,-0.004066,0.044719
0.970000,-0.004978,0.260863,0.278427,-0.100860,-0.004701,0.044811
0.980000,-0.005338,0.260612,0.278432,-0.101004,-0.005060,0.044864
0.990000,-0.005497,0.260500,0.278440,-0.101064,-0.005220,0.044887
1.000000,-0.005533,0.260474,0.278458,-0.101064,-0.005260,0.044893
1.010000,-0.005497,0.260497,0.278499,-0.101014,-0.005234,0.044888
1.020000,-0.005339,0.260602,0.278614,-0.100852,-0.005104,0.044865
1.030000,-0.004981,0.260840,0.278860,-0.100498,-0.004805,0.044813
1.040000,-0.004348,0.261262,0.279295,-0.099871,-0.004276,0.044722
1.050000,-0.003363,0.261918,0.279977,-0.098892,-0.003455,0.044580
1.060000,-0.001962,0.262849,0.280953,-0.097495,-0.002289,0.044378
1.070000,-0.000141,0.264060,0.282227,-0.095674,-0.000775,0.044116
1.080000,0.002093,0.265545,0.283793,-0.093438,0.001083,0.043794
1.090000,0.004732,0.267300,0.285643,-0.090796,0.003278,0.043414
1.100000,0.007769,0.269320,0.287772,-0.087756,0.005803,0.042977
1.110000,0.011188,0.271593,0.290167,-0.084335,0.008646,0.042485
1.120000,0.014941,0.274088,0.292795,-0.080581,0.011768,0.041945
1.130000,0.018974,0.276770,0.295618,-0.076547,0.015122,0.041364
1.140000,0.023230,0.279600,0.298598,-0.072290,0.018662,0.040751
1.150000,0.027654,0.282543,0.301696,-0.067863,0.022342,0.040113
1.160000,0.032190,0.285561,0.304874,-0.063324,0.026114,0.039458
1.170000,0.036772,0.288609,0.308084,-0.058737,0.029925,0.038797
1.180000,0.041335,0.291645,0.311280,-0.054171,0.033720,0.038139
1.190000,0.045814,0.294622,0.314415,-0.049691,0.037445,0.037494
1.200000,0.050142,0.297497,0.317442,-0.045367,0.041044,0.036874
1.210000,0.054256,0.300227,0.320317,-0.041259,0.044466,0.036287
1.220000,0.058107,0.302781,0.323007,-0.037417,0.047669,0.035738
1.230000,0.061645,0.305130,0.325481,-0.033883,0.050611,0.035231
1.240000,0.064822,0.307246,0.327709,-0.030700,0.053254,0.034771
1.250000,0.067591,0.309100,0.329661,-0.027911,0.055557,0.034361
1.260000,0.069917,0.310670,0.331313,-0.025549,0.057492,0.034006
1.270000,0.071820,0.311960,0.332671,-0.023609,0.059076,0.033711
1.280000,0.073335,0.312980,0.333745,-0.022075,0.060336,0.033482
1.290000,0.074496,0.313740,0.334545,-0.020931,0.061301,0.033325
1.300000,0.075337,0.314250,0.335084,-0.020162,0.061999,0.033245
1.310000,0.075891,0.314532,0.335383,-0.019735,0.062458,0.033240
1.320000,0.076194,0.314651,0.335510,-0.019554,0.062708,0.033269
1.330000,0.076281,0.314681,0.335542,-0.019508,0.062780,0.033280
1.340000,0.076187,0.314698,0.335558,-0.019484,0.062703,0.033224
1.350000,0.075947,0.314779,0.335638,-0.019371,0.062509,0.033052
1.360000,0.075579,0.314991,0.335850,-0.019066,0.062213,0.032710
1.370000,0.075032,0.315377,0.336239,-0.018510,0.061775,0.032142
1.380000,0.074240,0.315970,0.336838,-0.017652,0.061142,0.031288
