time_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6
0.000000,0.315000,0.637500,0.487500,-0.225000,0.315000,0.225000
0.010000,0.314673,0.637459,0.487271,-0.224766,0.314702,0.225055
0.020000,0.313991,0.637374,0.486794,-0.224277,0.314081,0.225170
0.030000,0.312599,0.637201,0.485820,-0.223279,0.312814,0.225404
0.040000,0.310143,0.636895,0.484101,-0.221519,0.310577,0.225817
0.050000,0.306267,0.636412,0.481388,-0.218742,0.307047,0.226469
0.060000,0.300683,0.635716,0.477480,-0.214741,0.301962,0.227408
0.070000,0.293369,0.634805,0.472361,-0.209500,0.295301,0.228638
0.080000,0.284368,0.633683,0.466062,-0.203050,0.287104,0.230151
0.090000,0.273724,0.632358,0.458613,-0.195422,0.277411,0.231941
0.100000,0.261481,0.630833,0.450045,-0.186649,0.266261,0.234000
0.110000,0.247712,0.629119,0.440410,-0.176782,0.253721,0.236316
0.120000,0.232607,0.627238,0.429839,-0.165957,0.239965,0.238856
0.130000,0.216386,0.625218,0.418487,-0.154333,0.225193,0.241584
0.140000,0.199269,0.623085,0.406507,-0.142067,0.209604,0.244463
0.150000,0.181475,0.620866,0.394051,-0.129317,0.193399,0.247454
0.160000,0.163232,0.618589,0.381279,-0.116245,0.176785,0.250520
0.170000,0.144798,0.616289,0.368373,-0.103036,0.159997,0.253619
0.180000,0.126438,0.613999,0.355521,-0.089880,0.143276,0.256705
0.190000,0.108417,0.611757,0.342912,-0.076966,0.126864,0.259736
0.200000,0.091002,0.609596,0.330733,-0.064484,0.111004,0.262668
0.210000,0.074445,0.607549,0.319162,-0.052616,0.095926,0.265458
0.220000,0.058953,0.605635,0.308337,-0.041511,0.081817,0.268069
0.230000,0.044718,0.603870,0.298383,-0.031309,0.068854,0.270466
0.240000,0.031935,0.602270,0.289429,-0.022150,0.057212,0.272613
0.250000,0.020797,0.600850,0.281600,-0.014176,0.047069,0.274474
0.260000,0.011442,0.599626,0.274992,-0.007485,0.038550,0.276026
0.270000,0.003787,0.598612,0.269572,-0.002013,0.031579,0.277291
0.280000,-0.002306,0.597821,0.265274,0.002347,0.026029,0.278305
0.290000,-0.006977,0.597269,0.262036,0.005700,0.021775,0.279101
0.300000,-0.010365,0.596968,0.259791,0.008154,0.018690,0.279714
0.310000,-0.012607,0.596906,0.258448,0.009808,0.016648,0.280169
0.320000,-0.013838,0.596961,0.257803,0.010735,0.015527,0.280451
0.330000,-0.014192,0.596987,0.257628,0.011004,0.015204,0.280535
0.340000,-0.013802,0.596835,0.257692,0.010682,0.015559,0.280398
0.350000,-0.012804,0.596358,0.257764,0.009836,0.016469,0.280015
0.360000,-0.011261,0.595406,0.257652,0.008482,0.017876,0.279345
0.370000,-0.008960,0.593816,0.257308,0.006427,0.019973,0.278286
0.380000,-0.005619,0.591425,0.256723,0.003425,0.023018,0.276719
0.390000,-0.000955,0.588069,0.255886,-0.000770,0.027269,0.274523
0.400000,0.005313,0.583582,0.254788,-0.006404,0.032983,0.271582
0.410000,0.013399,0.577843,0.253422,-0.013661,0.040353,0.267805
0.420000,0.023236,0.570897,0.251796,-0.022481,0.049320,0.263223
0.430000,0.034687,0.562830,0.249925,-0.032744,0.059758,0.257896
0.440000,0.047616,0.553731,0.247819,-0.044329,0.071543,0.251885
0.450000,0.061887,0.543686,0.245493,-0.057117,0.084552,0.245249
0.460000,0.077346,0.532796,0.242964,-0.070970,0.098643,0.238058
0.470000,0.093769,0.521219,0.240268,-0.085689,0.113614,0.230415
0.480000,0.110916,0.509126,0.237449,-0.101059,0.129243,0.222433
0.490000,0.128544,0.496688,0.234547,-0.116863,0.145312,0.214226
0.500000,0.146414,0.484077,0.231606,-0.132887,0.161601,0.205906
0.510000,0.164284,0.471465,0.228667,-0.148914,0.177889,0.197586
0.520000,0.181913,0.459024,0.225769,-0.164724,0.193958,0.189378
0.530000,0.199060,0.446929,0.222952,-0.180098,0.209588,0.181396
0.540000,0.215483,0.435353,0.220256,-0.194816,0.224558,0.173753
0.550000,0.230942,0.424469,0.217719,-0.208658,0.238651,0.166562
0.560000,0.245213,0.414436,0.215378,-0.221423,0.251661,0.159926
0.570000,0.258142,0.405349,0.213257,-0.232984,0.263449,0.153915
0.580000,0.269593,0.397289,0.211377,-0.243234,0.273888,0.148589
0.590000,0.279429,0.390337,0.209759,-0.252066,0.282853,0.144007
0.600000,0.287515,0.384573,0.208424,-0.259370,0.290220,0.140229
0.610000,0.293783,0.380041,0.207383,-0.265091,0.295927,0.137286
0.620000,0.298447,0.376637,0.206606,-0.269377,0.300170,0.135089
0.630000,0.301788,0.374222,0.206051,-0.272426,0.303212,0.133521
0.640000,0.304089,0.372656,0.205679,-0.274438,0.305313,0.132463
0.650000,0.305632,0.371797,0.205448,-0.275611,0.306734,0.131797
0.660000,0.306630,0.371477,0.205322,-0.276154,0.307668,0.131420
0.670000,0.307020,0.371410,0.205278,-0.276313,0.308036,0.131286
0.680000,0.306666,0.371281,0.205299,-0.276343,0.307689,0.131364
0.690000,0.305435,0.370773,0.205365,-0.276500,0.306480,0.131624
0.700000,0.303193,0.369571,0.205459,-0.277040,0.304262,0.132035
0.710000,0.299806,0.367405,0.205566,-0.278177,0.300888,0.132576
0.720000,0.295135,0.364186,0.205692,-0.279957,0.296221,0.133270
0.730000,0.289043,0.359870,0.205843,-0.282388,0.290125,0.134149
0.740000,0.281389,0.354411,0.206030,-0.285475,0.282465,0.135244
0.750000,0.272035,0.347765,0.206261,-0.289224,0.273106,0.136588
0.760000,0.260898,0.339916,0.206542,-0.293629,0.261966,0.138203
0.770000,0.248116,0.330958,0.206869,-0.298640,0.249184,0.140068
0.780000,0.233883,0.321011,0.207237,-0.304193,0.234953,0.142151
0.790000,0.218393,0.310198,0.207638,-0.310225,0.219466,0.144420
0.800000,0.201839,0.298640,0.208067,-0.316673,0.202915,0.146845
0.810000,0.184428,0.286470,0.208517,-0.323468,0.185506,0.149392
0.820000,0.166411,0.273864,0.208982,-0.330509,0.167490,0.152026
0.830000,0.148054,0.261014,0.209454,-0.337691,0.149134,0.154707
0.840000,0.129621,0.248106,0.209927,-0.344906,0.130702,0.157399
0.850000,0.111377,0.235331,0.210395,-0.352048,0.112459,0.160063
0.860000,0.093579,0.222872,0.210850,-0.359013,0.094663,0.162663
0.870000,0.076457,0.210888,0.211289,-0.365711,0.077542,0.165164
0.880000,0.060235,0.199537,0.211705,-0.372055,0.061322,0.167535
0.890000,0.045135,0.188971,0.212095,-0.377956,0.046222,0.169742
0.900000,0.031380,0.179347,0.212454,-0.383329,0.032468,0.171752
0.910000,0.019162,0.170797,0.212777,-0.388098,0.020249,0.173537
0.920000,0.008544,0.163366,0.213059,-0.392243,0.009630,0.175089
0.930000,-0.000443,0.157076,0.213295,-0.395754,0.000642,0.176402
0.940000,-0.007768,0.151949,0.213479,-0.398622,-0.006682,0.177472
0.950000,-0.013400,0.148008,0.213606,-0.400840,-0.012309,0.178295
0.960000,-0.017364,0.145235,0.213676,-0.402417,-0.016265,0.178874
0.970000,-0.019911,0.143454,0.213709,-0.403441,-0.018805,0.179246
0.980000,-0.021350,0.142448,0.213729,-0.404018,-0.020239,0.179456
0.990000,-0.021987,0.142001,0.213761,-0.404254,-0.020881,0.179550
1.000000,-0.022132,0.141897,0.213831,-0.404255,-0.021041,0.179571
1.010000,-0.021989,0.141989,0.213997,-0.404056,-0.020938,0.179551
1.020000,-0.021356,0.142409,0.214457,-0.403409,-0.020414,0.179459
1.030000,-0.019925,0.143362,0.215441,-0.401992,-0.019221,0.179253
1.040000,-0.017392,0.145048,0.217182,-0.399485,-0.017106,0.178888
1.050000,-0.013450,0.147671,0.219910,-0.395568,-0.013820,0.178320
1.060000,-0.007850,0.151396,0.223814,-0.389980,-0.009158,0.177513
1.070000,-0.000566,0.156240,0.228910,-0.382696,-0.003100,0.176463
1.080000,0.008370,0.162182,0.235172,-0.373753,0.004331,0.175176
1.090000,0.018928,0.169202,0.242574,-0.363184,0.013110,0.173656
1.100000,0.031076,0.177279,0.251088,-0.351025,0.023212,0.171907
1.110000,0.044752,0.186371,0.260667,-0.337342,0.034585,0.169939
1.120000,0.059766,0.196353,0.271180,-0.322324,0.047073,0.167778
1.130000,0.075896,0.207079,0.282473,-0.306189,0.060489,0.165456
1.140000,0.092921,0.218401,0.294392,-0.289159,0.074649,0.163003
1.150000,0.110618,0.230173,0.306786,-0.271451,0.089368,0.160451
1.160000,0.128759,0.242243,0.319494,-0.253294,0.104456,0.157832
1.170000,0.147088,0.254438,0.332335,-0.234948,0.119700,0.155187
1.180000,0.165341,0.266580,0.345120,-0.216683,0.134881,0.152555
1.190000,0.183255,0.278489,0.357661,-0.198766,0.149780,0.149977
1.200000,0.200567,0.289987,0.369770,-0.181467,0.164178,0.147496
1.210000,0.217026,0.300906,0.381269,-0.165038,0.177866,0.145147
1.220000,0.232427,0.311122,0.392027,-0.149669,0.190675,0.142952
1.230000,0.246579,0.320519,0.401922,-0.135531,0.202444,0.140925
1.240000,0.259288,0.328983,0.410835,-0.122798,0.213015,0.139084
1.250000,0.270364,0.336400,0.418643,-0.111642,0.222228,0.137444
1.260000,0.279668,0.342681,0.425254,-0.102196,0.229968,0.136023
1.270000,0.287282,0.347840,0.430685,-0.094437,0.236303,0.134843
1.280000,0.293342,0.351920,0.434980,-0.088301,0.241344,0.133927
1.290000,0.297985,0.354960,0.438182,-0.083726,0.245204,0.133299
1.300000,0.301346,0.357002,0.440337,-0.080648,0.247995,0.132982
1.310000,0.303563,0.358130,0.441533,-0.078940,0.249831,0.132962
1.320000,0.304775,0.358603,0.442039,-0.078218,0.250832,0.133075
1.330000,0.305123,0.358724,0.442168,-0.078033,0.251120,0.133121
1.340000,0.304747,0.358794,0.442234,-0.077938,0.250814,0.132898
1.350000,0.303787,0.359116,0.442551,-0.077484,0.250037,0.132207
1.360000,0.302315,0.359965,0.443402,-0.076264,0.248853,0.130840
