time_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6
0.000000,0.315000,0.637500,0.487500,-0.225000,0.315000,0.225000
0.050000,0.306267,0.636412,0.481388,-0.218742,0.307047,0.226469
0.100000,0.261481,0.630833,0.450045,-0.186649,0.266261,0.234000
0.150000,0.181475,0.620866,0.394051,-0.129317,0.193399,0.247454
0.200000,0.091002,0.609596,0.330733,-0.064484,0.111004,0.262668
0.250000,0.020797,0.600850,0.281600,-0.014176,0.047069,0.274474
0.300000,-0.010365,0.596968,0.259791,0.008154,0.018690,0.279714
0.350000,-0.012804,0.596358,0.257764,0.009836,0.016469,0.280015
0.400000,0.005313,0.583582,0.254788,-0.006404,0.032983,0.271582
0.450000,0.061887,0.543686,0.245493,-0.057117,0.084552,0.245249
0.500000,0.146414,0.484077,0.231606,-0.132887,0.161601,0.205906
0.550000,0.230942,0.424469,0.217719,-0.208658,0.238651,0.166562
0.600000,0.287515,0.384573,0.208424,-0.259370,0.290220,0.140229
0.650000,0.305632,0.371797,0.205448,-0.275611,0.306734,0.131797
0.700000,0.303193,0.369571,0.205459,-0.277040,0.304262,0.132035
0.750000,0.272035,0.347765,0.206261,-0.289224,0.273106,0.136588
0.800000,0.201839,0.298640,0.208067,-0.316673,0.202915,0.146845
0.850000,0.111377,0.235331,0.210395,-0.352048,0.112459,0.160063
0.900000,0.031380,0.179347,0.212454,-0.383329,0.032468,0.171752
0.950000,-0.013400,0.148008,0.213606,-0.400840,-0.012309,0.178295
1.000000,-0.022132,0.141897,0.213831,-0.404255,-0.021041,0.179571
1.050000,-0.013450,0.147671,0.219910,-0.395568,-0.013820,0.178320
1.100000,0.031076,0.177279,0.251088,-0.351025,0.023212,0.171907
1.150000,0.110618,0.230173,0.306786,-0.271451,0.089368,0.160451
1.200000,0.200567,0.289987,0.369770,-0.181467,0.164178,0.147496
1.250000,0.270364,0.336400,0.418643,-0.111642,0.222228,0.137444
1.300000,0.301346,0.357002,0.440337,-0.080648,0.247995,0.132982
1.350000,0.303787,0.359116,0.442551,-0.077484,0.250037,0.132207
1.400000,0.286587,0.371685,0.455227,-0.059331,0.236268,0.113948
1.450000,0.232877,0.410937,0.494812,-0.002647,0.193272,0.056931
1.500000,0.152628,0.469583,0.553955,0.082046,0.129031,-0.028259
1.550000,0.072379,0.528229,0.613099,0.166739,0.064790,-0.113449
1.600000,0.018669,0.567481,0.652683,0.223424,0.021794,-0.170466
1.650000,0.001469,0.580051,0.665360,0.241576,0.008025,-0.188725
1.700000,-0.001692,0.578359,0.666008,0.239141,0.005406,-0.188835
1.750000,-0.032855,0.556752,0.670329,0.208014,-0.020529,-0.185933
1.800000,-0.103062,0.508073,0.680064,0.137889,-0.078959,-0.179395
1.850000,-0.193539,0.445339,0.692610,0.047517,-0.154258,-0.170968
1.900000,-0.273548,0.389863,0.703704,-0.032399,-0.220846,-0.163517
1.950000,-0.318335,0.358809,0.709914,-0.077134,-0.258120,-0.159346
